parent,role,permlevel,read,write,create,delete,submit,cancel,amend,report,export,import,share,print,email,if_owner,modified
Comment,Website Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:07:47.082707
Comment,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:07:47.082707
Common Code,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:36.258769
Communication,System Manager,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,2026-02-13 14:07:48.603151
Communication,Inbox User,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,2026-02-13 14:07:48.603151
Communication,All,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2026-02-13 14:07:48.603151
Communication,System Manager,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:07:48.603151
Communication,System Manager,2,1,1,0,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:07:48.603151
Communication Medium,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:34.946806
Company,Auditor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:08:21.305737
Company,Projects User,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:08:21.305737
Company,Accounts User,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2026-02-13 14:08:21.305737
Company,Stock User,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:08:21.305737
Company,System Manager,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:08:21.305737
Company,Employee,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:08:21.305737
Company,Accounts Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:21.305737
Company,Sales User,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:08:21.305737
Company,Purchase User,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:08:21.305737
Competitor,Sales Master Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:14.522469
Competitor,Sales User,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:08:14.522469
Competitor,Maintenance Manager,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:08:14.522469
Competitor,Maintenance User,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:08:14.522469
Competitor,Sales Manager,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:08:14.522469
Connected App,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:07:55.976217
Connected App,All,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:07:55.976217
Console Log,System Manager,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:07:54.992332
Contact,Maintenance User,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:07:57.605599
Contact,System Manager,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,2026-02-13 14:07:57.605599
Contact,Purchase Manager,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:07:57.605599
Contact,Maintenance Manager,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:07:57.605599
Contact,Sales User,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:07:57.605599
Contact,Accounts Manager,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:07:57.605599
Contact,Purchase Master Manager,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:07:57.605599
Contact,Accounts User,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:07:57.605599
Contact,All,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,2026-02-13 14:07:57.605599
Contact,Sales Manager,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:07:57.605599
Contact,Purchase User,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:07:57.605599
Contact,Sales Master Manager,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:07:57.605599
Contact Us Settings,Website Manager,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,2026-02-13 14:07:51.387829
Contract,Sales Manager,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2026-02-13 14:08:13.779440
Contract,HR Manager,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2026-02-13 14:08:13.779440
Contract,Purchase Manager,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2026-02-13 14:08:13.779440
Contract,System Manager,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2026-02-13 14:08:13.779440
Contract Template,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:14.421744
Contract Template,Purchase Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:14.421744
Contract Template,Sales Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:14.421744
Contract Template,HR Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:14.421744
Cost Center,Purchase User,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:08:11.102229
Cost Center,Auditor,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2026-02-13 14:08:11.102229
Cost Center,Accounts Manager,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:08:11.102229
Cost Center,Accounts User,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2026-02-13 14:08:11.102229
Cost Center,Sales User,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:08:11.102229
Cost Center,Employee,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:11.102229
Cost Center Allocation,Accounts Manager,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2026-02-13 14:08:11.236202
Cost Center Allocation,Accounts User,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2026-02-13 14:08:11.236202
Cost Center Allocation,System Manager,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2026-02-13 14:08:11.236202
Country,All,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2026-02-13 14:07:53.951818
Country,System Manager,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,2026-02-13 14:07:53.951818
Coupon Code,Website Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:03.167551
Coupon Code,Sales Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:03.167551
Coupon Code,Accounts User,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:03.167551
